CharacterJobID,CharacterID,Job
1,353,Policeman
2,350,Solicitor's clerk
3,311,Real estate agent
4,306,Private detective
5,307,Con-artist
6,308,Shoplifter
7,308,Jewel thief
8,354,Secretary
9,355,Novelist
10,344,Millionaire
11,356,Freedom fighter
12,211,Chef
13,182,Policeman
14,153,Novelist
15,159,Novelist
16,183,Neurologist
17,158,Idle rich
18,1,Idle rich
19,158,Journalist
20,185,Novelist
21,358,Novelist
22,178,Magistrate
23,187,Designer of women's underwear
24,187,Politician
25,190,Headmaster
26,119,Business in the Far East
27,115,Butler
28,116,Parlourmaid
29,359,Idle rich
30,169,Vicar
31,167,Actor
32,168,Actor
33,360,Movie producer
34,43,Secretary
35,43,Movie assistant producer
36,43,Private detective
37,46,Nightclub operator
38,46,Secretary
39,362,Butler
40,361,Ship's steward
41,361,Butler
42,362,Idle rich
43,97,Newspaper editor
44,97,Private detective
